x,y,val,iter
-6.792415157519429,-9.146755941630275,-92.27380734419937,0
-2.262964469960238,-27.127453523564867,-10.242016384604842,1
-2.262964469960238,-27.127453523564867,-10.242016384604842,2
1.8088640764671169,26.777038395700842,-6.543978494266471,3
-1.1326904606836585,-35.14278236035633,-2.565975359447517,4
-1.1326904606836585,-35.14278236035633,-2.565975359447517,5
-0.7141518872010959,22.001620058409703,-1.0200258359857737,6
-0.7141518872010959,22.001620058409703,-1.0200258359857737,7
0.15329860454444955,-35.915396259219094,-0.04700092431055106,8
0.15329860454444955,-35.915396259219094,-0.04700092431055106,9
0.15329860454444955,-35.915396259219094,-0.04700092431055106,10
0.15329860454444955,-35.915396259219094,-0.04700092431055106,11
0.15329860454444955,-35.915396259219094,-0.04700092431055106,12
0.15329860454444955,-35.915396259219094,-0.04700092431055106,13
0.1532774299738282,19.672371173307873,-0.04698794107876362,14
0.1532774299738282,19.672371173307873,-0.04698794107876362,15
-0.021609261947332925,-32.217884155677126,-0.0009339204038169016,16
