x,y,val
-0.5915876403859981,-55.96934762819515,-0.699951872514946
0.5922173991075308,18.727856531119176,-0.7014428956113768
-0.7384702261458251,32.77771070689488,-1.0906765498077322
3.451432166820817,38.13645011017811,-4.201848836422649
1.551279778760021,28.337342635678322,-48.507112476921314
66.16191022082393,-48.70912268575345,-49.86173131050383
-3.3600815368069448,17.39958263807881,-64.59663974379532
-3.2056505148255265,22.41366976985681,-121.23001464115553
-8.455547679511483,28.62646207772558,-124.422200975186
-68.92951253813905,51.39257085236534,-1503.0375966317104
-62.52511050741627,69.9877075539712,-3000.0930909401104
-47.530038161688196,-3.416493431360081,-6892.0442312689065
33.554925255333245,-95.98501134279647,-11421.241831797519
33.590913301900684,-72.57145524229504,-16235.509225538379
